,data_type,garnet_formula
437,mixed,LuCa2Li2P3O12
438,mixed,LuCa2Li2P3O12
439,mixed,LuCa2Li2P3O12
440,mixed,LuMg2Li2P3O12
441,mixed,LuMg2Li2P3O12
442,mixed,LuMg2Li2P3O12
443,mixed,LuMg2Li2P3O12
444,mixed,LuMg2Li2P3O12
445,mixed,LuMg2Li2P3O12
446,mixed,LuMg2Li2P3O12
447,mixed,LuMg2Li2P3O12
448,mixed,LuMg2Li2P3O12
449,mixed,LuMg2Li2P3O12
450,mixed,LuMg2Li2P3O12
451,mixed,LuMg2Li2P3O12
452,mixed,LuMg2Li2P3O12
453,mixed,LuMg2Li2P3O12
454,mixed,LuMg2Li2P3O12
455,mixed,LuMg2Li2P3O12
456,mixed,LuMg2Li2P3O12
457,mixed,LuMg2Li2P3O12
458,mixed,LuMg2Li2P3O12
459,mixed,LuMg2Li2P3O12
460,mixed,LaCa2Li2P3O12
461,mixed,LaCa2Li2P3O12
462,mixed,LaCa2Li2P3O12
463,mixed,LaCa2Li2P3O12
464,mixed,LaCa2Li2P3O12
465,mixed,LaCa2Li2P3O12
466,mixed,LaCa2Li2P3O12
467,mixed,LaCa2Li2P3O12
468,mixed,LaCa2Li2P3O12
469,mixed,LaCa2Li2P3O12
470,mixed,LaCa2Li2P3O12
471,mixed,LaCa2Li2P3O12
472,mixed,LaCa2Li2P3O12
473,mixed,LaCa2Li2P3O12
474,mixed,LaCa2Li2P3O12
475,mixed,LaCa2Li2P3O12
476,mixed,LaCa2Li2P3O12
477,mixed,LaCa2Li2P3O12
478,mixed,LaCa2Li2P3O12
479,mixed,LaCa2Li2P3O12
480,mixed,MgSr2Al2Si3O12
481,mixed,MgSr2Al2Si3O12
482,mixed,MgSr2Al2Si3O12
483,mixed,MgSr2Al2Si3O12
484,mixed,MgSr2Al2Si3O12
485,mixed,MgSr2Al2Si3O12
486,mixed,MgSr2Al2Si3O12
487,mixed,MgSr2Al2Si3O12
488,mixed,MgSr2Al2Si3O12
489,mixed,MgSr2Al2Si3O12
490,mixed,MgSr2Al2Si3O12
491,mixed,MgSr2Al2Si3O12
492,mixed,MgSr2Al2Si3O12
493,mixed,MgSr2Al2Si3O12
494,mixed,MgSr2Al2Si3O12
495,mixed,MgSr2Al2Si3O12
496,mixed,MgSr2Al2Si3O12
497,mixed,MgSr2Al2Si3O12
498,mixed,MgSr2Al2Si3O12
499,mixed,MgSr2Al2Si3O12
500,mixed,ZnMg2Y2Si3O12
501,mixed,ZnMg2Y2Si3O12
502,mixed,ZnMg2Y2Si3O12
503,mixed,ZnMg2Y2Si3O12
504,mixed,ZnMg2Y2Si3O12
505,mixed,ZnMg2Y2Si3O12
506,mixed,ZnMg2Y2Si3O12
507,mixed,ZnMg2Y2Si3O12
508,mixed,ZnMg2Y2Si3O12
509,mixed,ZnMg2Y2Si3O12
510,mixed,ZnMg2Y2Si3O12
511,mixed,ZnMg2Y2Si3O12
512,mixed,ZnMg2Y2Si3O12
513,mixed,ZnMg2Y2Si3O12
514,mixed,ZnMg2Y2Si3O12
515,mixed,ZnMg2Y2Si3O12
516,mixed,ZnMg2Y2Si3O12
517,mixed,ZnMg2Y2Si3O12
518,mixed,ZnMg2Y2Si3O12
519,mixed,ZnMg2Y2Si3O12
520,mixed,NaBa2Ta2Al3O12
521,mixed,NaBa2Ta2Al3O12
522,mixed,NaBa2Ta2Al3O12
523,mixed,NaBa2Ta2Al3O12
524,mixed,NaBa2Ta2Al3O12
525,mixed,NaBa2Ta2Al3O12
526,mixed,NaBa2Ta2Al3O12
527,mixed,NaBa2Ta2Al3O12
528,mixed,NaBa2Ta2Al3O12
529,mixed,NaBa2Ta2Al3O12
530,mixed,NaBa2Ta2Al3O12
531,mixed,NaBa2Ta2Al3O12
532,mixed,NaBa2Ta2Al3O12
533,mixed,NaBa2Ta2Al3O12
534,mixed,NaBa2Ta2Al3O12
535,mixed,NaBa2Ta2Al3O12
536,mixed,NaBa2Ta2Al3O12
537,mixed,NaBa2Ta2Al3O12
538,mixed,NaBa2Ta2Al3O12
539,mixed,NaBa2Ta2Al3O12
540,mixed,TmZr2Sb2Li3O12
541,mixed,TmZr2Sb2Li3O12
542,mixed,TmZr2Sb2Li3O12
543,mixed,TmZr2Sb2Li3O12
544,mixed,TmZr2Sb2Li3O12
